country,age_cat,rando,cascade,cascade_cost,cost.m,cost.sd,cost.lo,cost.hi
Cameroon,u5,INT,screening,TB symptom screening,35.62,27.49,16.35,88.26
Cameroon,u5,INT,inv_coprev,Co-prevalent TB investigations,39.43,17.56,13.48,79.28
Cameroon,u5,INT,att_coprev,Co-prevalent TB treatment,80.97,18.46,68.57,93.37
Cameroon,u5,INT,tpt,TPT,151.33,59.64,21.39,295.93
Cameroon,u5,INT,inv_inc,Incident TB investigations,57.2,66.65,16.39,204.15
Cameroon,u5,INT,att_inc,Incident TB treatment,123.91,82.35,68.59,179.23
Cameroon,u5,INT,Total,Total cost,181.93,79.48,20.36,326.81
Cameroon,u5,SOC,screening,TB symptom screening,15.27,1.65,12.19,18.67
Cameroon,u5,SOC,inv_coprev,Co-prevalent TB investigations,45.57,13.74,19.93,63.54
Cameroon,u5,SOC,att_coprev,Co-prevalent TB treatment,80.97,18.46,68.57,93.37
Cameroon,u5,SOC,tpt,TPT,88.91,41.84,20.66,177.5
Cameroon,u5,SOC,inv_inc,Incident TB investigations,61.35,39.98,24.97,139.01
Cameroon,u5,SOC,att_inc,Incident TB treatment,123.91,82.35,68.59,179.23
Cameroon,u5,SOC,Total,Total cost,108.89,47.79,34.93,231.83
Cameroon,o5,INT,screening,TB symptom screening,31.09,20.86,18.16,90.86
Cameroon,o5,INT,inv_coprev,Co-prevalent TB investigations,36.98,13.54,9.48,56.82
Cameroon,o5,INT,att_coprev,Co-prevalent TB treatment,112.71,19.93,99.32,126.1
Cameroon,o5,INT,tpt,TPT,2.79,25.6,0,0
Cameroon,o5,INT,inv_inc,Incident TB investigations,57.2,66.65,16.39,204.15
Cameroon,o5,INT,att_inc,Incident TB treatment,123.91,82.35,68.59,179.23
Cameroon,o5,INT,Total,Total cost,33.52,25.81,18.16,91.84
Cameroon,o5,SOC,screening,TB symptom screening,17.47,1.6,15.17,19.67
Cameroon,o5,SOC,inv_coprev,Co-prevalent TB investigations,39.5,19.67,26.28,52.71
Cameroon,o5,SOC,att_coprev,Co-prevalent TB treatment,80.97,18.46,68.57,93.37
Cameroon,o5,SOC,tpt,TPT,151.33,59.64,21.39,295.93
Cameroon,o5,SOC,inv_inc,Incident TB investigations,57.2,66.65,16.39,204.15
Cameroon,o5,SOC,att_inc,Incident TB treatment,123.91,82.35,68.59,179.23
Cameroon,o5,SOC,Total,Total cost,28.76,19.78,16.86,64.48
Uganda,u5,INT,screening,TB symptom screening,22.28,8.77,15.97,28.16
Uganda,u5,INT,inv_coprev,Co-prevalent TB investigations,26.12,15.06,12.19,49.67
Uganda,u5,INT,att_coprev,Co-prevalent TB treatment,144.04,60.51,103.39,184.68
Uganda,u5,INT,tpt,TPT,148.22,23.23,74.05,185.9
Uganda,u5,INT,inv_inc,Incident TB investigations,14.04,,14.04,14.04
Uganda,u5,INT,att_inc,Incident TB treatment,115.18,,115.18,115.18
Uganda,u5,INT,Total,Total cost,170.88,26.66,85.32,226.74
Uganda,u5,SOC,screening,TB symptom screening,14.61,2.23,12.46,18.2
Uganda,u5,SOC,inv_coprev,Co-prevalent TB investigations,32.08,7.64,26.13,45.24
Uganda,u5,SOC,att_coprev,Co-prevalent TB treatment,144.04,60.51,103.39,184.68
Uganda,u5,SOC,tpt,TPT,84.44,27.29,25.36,151.83
Uganda,u5,SOC,inv_inc,Incident TB investigations,14.04,,14.04,14.04
Uganda,u5,SOC,att_inc,Incident TB treatment,115.18,,115.18,115.18
Uganda,u5,SOC,Total,Total cost,98.57,30.74,37.63,167.88
Uganda,o5,INT,screening,TB symptom screening,23.13,5.72,17.2,28.34
Uganda,o5,INT,inv_coprev,Co-prevalent TB investigations,41.99,10.88,19.14,59.17
Uganda,o5,INT,att_coprev,Co-prevalent TB treatment,198.14,70.93,150.49,245.79
Uganda,o5,INT,tpt,TPT,29.32,73.13,3.95,180.68
Uganda,o5,INT,inv_inc,Incident TB investigations,14.04,,14.04,14.04
Uganda,o5,INT,att_inc,Incident TB treatment,115.18,,115.18,115.18
Uganda,o5,INT,Total,Total cost,28.5,27.84,17.2,77.7
Uganda,o5,SOC,screening,TB symptom screening,15.59,1.94,12.23,18.64
Uganda,o5,SOC,inv_coprev,Co-prevalent TB investigations,38.08,10.86,21.72,53.57
Uganda,o5,SOC,att_coprev,Co-prevalent TB treatment,130.56,,130.56,130.56
Uganda,o5,SOC,tpt,TPT,6.36,0.94,4.95,7.07
Uganda,o5,SOC,inv_inc,Incident TB investigations,14.04,,14.04,14.04
Uganda,o5,SOC,att_inc,Incident TB treatment,115.18,,115.18,115.18
Uganda,o5,SOC,Total,Total cost,21.29,21.14,12.26,64.11
