levelName,p,cost,tpte,tpt,inctb,prevtb,att,lives,incdeaths,deaths,check,TPT.screened,TPT.asymptomatic,TPT.eligible,TPT.treated,TB.symptoms,TB.evaluated,TB.diagnosed,TB.treated
Community-based model                               ,"","",,,,,,,,,,0,0,0,0,0,0,0,0
" °--Child contact, age, HIV/ART status              ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦--Child contact screened                      ,int.frac.screened,c.int.screening,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
     ¦   ¦--Symptomatic child contact               ,int.frac.symp,c.int.tb.investigations,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
     ¦   ¦   ¦--Active TB                           ,int.coprev.tb,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
     ¦   ¦   ¦   °--TB outcomes                     ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦       ¦--TB tx                       ,1-p.ptltfu,c.int.att,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
     ¦   ¦   ¦       ¦   ¦--dies                    ,p.cfr.tx,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦       ¦   °--survives                ,1-p.cfr.tx,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦       °--no TB tx                    ,p.ptltfu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦           ¦--dies                    ,p.cfr.notx,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦           °--survives                ,1-p.cfr.notx,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
     ¦   ¦   °--No active TB                        ,1-int.coprev.tb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦       °--TPT outcomes                    ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦           ¦--Eligible for TPT            ,int.frac.eligible.tpt,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
     ¦   ¦           ¦   ¦--TPT                     ,int.frac.eligible.tpt*(1-int.frac.pre.tpt.ltfu),c.int.tpt,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
     ¦   ¦           ¦   ¦   ¦--TB disease <1yr     ,p.tbdx.<1yr*tptRR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
     ¦   ¦           ¦   ¦   ¦   °--TB outcomes     ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦           ¦   ¦   ¦       ¦--TB tx       ,1-p.ptltfu,c.int.att,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
     ¦   ¦           ¦   ¦   ¦       ¦   ¦--dies    ,p.cfr.tx,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
     ¦   ¦           ¦   ¦   ¦       ¦   °--survives,1-p.cfr.tx,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
     ¦   ¦           ¦   ¦   ¦       °--no TB tx    ,p.ptltfu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦           ¦   ¦   ¦           ¦--dies    ,p.cfr.notx,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
     ¦   ¦           ¦   ¦   ¦           °--survives,1-p.cfr.notx,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
     ¦   ¦           ¦   ¦   °--no TB disease <1yr  ,1-p.tbdx.<1yr*tptRR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦           ¦   ¦       °--no TB outcomes  ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦           ¦   ¦           ¦--dies        ,p.cfr.notb,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
     ¦   ¦           ¦   ¦           °--survives    ,1-p.cfr.notb,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
     ¦   ¦           ¦   °--no TPT                  ,int.frac.pre.tpt.ltfu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦           ¦       ¦--TB disease <1yr     ,p.tbdx.<1yr,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
     ¦   ¦           ¦       ¦   °--TB outcomes     ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦           ¦       ¦       ¦--TB tx       ,1-p.ptltfu,c.int.att,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
     ¦   ¦           ¦       ¦       ¦   ¦--dies    ,p.cfr.tx,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
     ¦   ¦           ¦       ¦       ¦   °--survives,1-p.cfr.tx,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
     ¦   ¦           ¦       ¦       °--no TB tx    ,p.ptltfu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦           ¦       ¦           ¦--dies    ,p.cfr.notx,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
     ¦   ¦           ¦       ¦           °--survives,1-p.cfr.notx,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
     ¦   ¦           ¦       °--no TB disease <1yr  ,1-p.tbdx.<1yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦           ¦           °--no TB outcomes  ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦           ¦               ¦--dies        ,p.cfr.notb,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
     ¦   ¦           ¦               °--survives    ,1-p.cfr.notb,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
     ¦   ¦           °--Not eligible for TPT        ,1-int.frac.eligible.tpt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦               ¦--TB disease <1yr         ,p.tbdx.<1yr,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
     ¦   ¦               ¦   °--TB outcomes         ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦               ¦       ¦--TB tx           ,1-p.ptltfu,c.int.att,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
     ¦   ¦               ¦       ¦   ¦--dies        ,p.cfr.tx,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
     ¦   ¦               ¦       ¦   °--survives    ,1-p.cfr.tx,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
     ¦   ¦               ¦       °--no TB tx        ,p.ptltfu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦               ¦           ¦--dies        ,p.cfr.notx,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
     ¦   ¦               ¦           °--survives    ,1-p.cfr.notx,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
     ¦   ¦               °--no TB disease <1yr      ,1-p.tbdx.<1yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
