levelName,p,cost,tpte,tpt,inctb,prevtb,att,lives,incdeaths,deaths,check,TPT.screened,TPT.asymptomatic,TPT.eligible,TPT.treated,TB.symptoms,TB.evaluated,TB.diagnosed,TB.treated
Facility-based model                                ,,,,,,,,,,,,,,,,,,,
" °--Child contact, age, HIV/ART status              ",1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
     ¦--Child contact screened                      ,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
     ¦   ¦--Symptomatic child contact               ,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
     ¦   ¦   ¦--Active TB                           ,1,0,0,0,0,1,0,0,0,0,0,,,,,,,,
     ¦   ¦   ¦   °--TB outcomes                     ,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
     ¦   ¦   ¦       ¦--TB tx                       ,1-p.ptltfu,0,0,0,0,0,1,0,0,0,0,,,,,,,,
     ¦   ¦   ¦       ¦   ¦--dies                    ,p.cfr.tx,0,0,0,0,0,0,0,0,1,1,,,,,,,,
     ¦   ¦   ¦       ¦   °--survives                ,1-p.cfr.tx,0,0,0,0,0,0,1,0,0,1,,,,,,,,
     ¦   ¦   ¦       °--no TB tx                    ,p.ptltfu,0,0,0,0,0,0,0,0,0,0,,,,,,,,
     ¦   ¦   ¦           ¦--dies                    ,p.cfr.notx,0,0,0,0,0,0,0,0,1,1,,,,,,,,
     ¦   ¦   ¦           °--survives                ,1-p.cfr.notx,0,0,0,0,0,0,1,0,0,1,,,,,,,,
     ¦   ¦   °--No active TB                        ,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
     ¦   ¦       °--TPT outcomes                    ,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
     ¦   ¦           ¦--Eligible for TPT            ,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,
     ¦   ¦           ¦   ¦--TPT                     ,1,0,0,1,0,0,0,0,0,0,0,,,,,,,,
     ¦   ¦           ¦   ¦   ¦--TB disease <1yr     ,p.tbdx.<1yr*tptRR,0,0,0,1,0,0,0,0,0,0,,,,,,,,
     ¦   ¦           ¦   ¦   ¦   °--TB outcomes     ,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
     ¦   ¦           ¦   ¦   ¦       ¦--TB tx       ,1-p.ptltfu,0,0,0,0,0,1,0,0,0,0,,,,,,,,
